periodo,Nacional,Urbano,Rural,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Estado de México,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
t105,34.783703657353,27.9913810966422,56.3419541268079,30.0800487797251,12.7651978485687,16.4619081395998,38.3653809295323,25.1807388671388,21.526756385198,65.8985993169347,23.8575188570564,20.6512893107808,40.3730395665131,33.2822105173077,55.4869815688828,42.0981781658901,27.7185064946015,29.5799683829325,38.8732636902705,37.0937648236968,30.8020513257465,14.3310089327559,55.8711644456054,46.5926191941993,31.3283389444548,20.6097499345318,43.7998915511545,21.6278425333042,22.7631591048372,40.8352841138149,28.0457626634264,41.5056253126586,46.1760762694895,41.9749881189164,50.3935393452834
t205,36.4207838391295,29.4790654089443,58.6470581880551,30.3780743251707,12.7844569317459,16.374665171619,39.0182120444527,27.2278241967906,21.1905245892447,67.0530967471056,23.6677987200865,22.4195580901055,40.6819351335964,35.0063141057552,58.066768436558,46.4217014394843,27.1486946162672,32.2103893517402,39.545797758862,38.6347429436488,35.5805247465457,14.6646602283024,59.6158228641045,49.57460684647,32.4540909434762,21.2463537232854,44.9769117748503,25.8441053394086,21.9743530330263,41.0266985886461,31.617313870766,43.5927178249293,47.4418142889784,43.7996157827962,48.9114634557998
t305,35.7982360121283,28.8734874697901,57.9062257537496,30.3696750649168,13.4839403731043,15.3271947758689,40.2025419696867,25.3571461076901,20.5231673827615,65.6562067069819,23.3536396516866,21.9396198582549,39.8542379721586,36.4192395795323,57.3385159845018,42.4607693085987,28.9640079654009,30.1657244842913,43.1963832589291,39.3249757003837,35.2665217580593,15.6856556412062,57.6946188826332,48.4701882055374,31.6518561751152,21.6977177203336,44.9693185213866,26.2809663617081,23.6532295547207,38.1082571771327,27.9984641401452,44.0274909714513,46.211353742565,43.1308097275098,46.8144905044175
t405,33.6707262596194,27.1502922849711,54.3878203190705,27.2921589944903,12.1902161495656,13.081492510103,36.687358224111,24.0583306021275,21.6695811417399,66.4473175851754,22.3660464630367,19.1084782312457,36.7571329336344,33.4258784593466,55.4163265683282,42.673448412472,27.8292205376687,28.6962863492369,38.2456888787767,34.6785201352986,32.0647321311472,15.4225753392024,54.702991396947,45.4139948834775,28.3484427974761,20.2009525393598,43.0434115788397,22.2479165142537,21.9794244858183,36.8206945455976,24.980841193246,40.9023307876216,43.0172480157718,41.0884039543516,41.6933067489446
t106,34.3317931363875,27.4725454753674,56.1833722520534,29.2608332700918,13.5022139833574,15.0205830244019,39.0561009414977,25.3904369716682,21.3307637867392,65.5664561847914,19.8304963868643,19.6901479569794,38.9986076365778,35.3113620934395,55.1856003083064,45.3694180972111,24.987821426319,28.7709594464133,42.5030613870521,36.06699654548,32.3616897232467,14.6639217437963,59.6834578581801,48.3312136726085,30.1460066247442,18.9488481229049,41.3979065686402,20.1774257078091,20.8150068983859,35.7071648697962,26.0496748200466,43.1357534898991,43.44774074377,41.705037934376,49.5356644001687
t206,32.5783297537548,25.7834093006543,54.168179339672,27.1093583555355,12.2247184919368,12.3047715573375,36.8248689848609,22.9565211924906,17.2703539429891,66.2555734399797,17.8358787409408,20.3019589867882,35.5673976213538,32.0111050068474,53.6943290202406,42.4176848860419,26.3864401693248,25.5187316348335,37.1786619591336,35.140896201678,29.7606443971814,14.3456570515333,55.5284480926993,45.6955713530954,28.0133365532571,18.8244039612768,40.2277190472844,21.7440572119259,17.8697751859645,36.0365284206777,23.4812115596822,41.6834306394265,43.3389542952881,38.7296977022272,43.2073505192866
t306,33.6682402885087,27.19480661329,54.2918318776021,26.8466807340793,12.6428944348162,12.9348459727301,36.7408481838067,23.3630188489681,19.346511259446,65.1058778697272,20.9618472728148,21.2826508413559,38.9594897589912,33.2519390180996,54.4576048082808,44.4231533646417,28.5295885487851,28.1144151472045,37.2413678299095,31.9489356605712,32.0515388278381,15.3916654725568,56.8384426459497,44.6985899876907,28.2162486496302,18.6036615458232,42.3441308082624,24.062107934232,23.0580256087591,34.1508446499863,23.5278715570396,43.7982050879411,43.6294609357886,38.8381894734795,43.4738719659062
t406,34.3418716977565,27.6821220209342,55.4977714874167,29.080173798646,14.5951647502377,11.262853470437,36.9491647142254,24.0776814658237,20.8970188109125,66.6803071110382,20.0375158535054,21.4520550151615,37.1230691288339,34.0596081062357,56.0065939495703,45.4393892687108,25.9064064408914,29.259166478285,38.3427218571456,33.1800781820246,29.333893783649,14.3016610233215,59.2429248727218,46.3445378616666,30.2066151722311,20.1522389184953,44.2092792707558,22.9146161972785,21.102461603198,33.4921691568774,25.4001061521379,43.7674632352941,47.0113854272299,38.8396535515058,43.9679027709882
t107,35.1530759429407,28.411176107698,56.5276567878598,31.6088780482296,14.4583649615125,13.9911989983797,37.9155122442228,24.9284394056376,22.9505115187025,67.2362764981087,21.3627588120369,20.8328391871451,38.4077183585468,37.1896957803373,57.0805880287428,45.1556196390362,25.107946559794,31.7459897444537,39.5120941379016,35.6547665881242,31.3440738141436,15.6775072114852,59.9221303865911,45.5404751295676,30.659536181756,18.6146885454282,45.5526624148309,22.4074026604611,20.9190371991247,37.0228792837104,28.344680604591,42.8377895689478,45.6168414924972,40.1738339021616,45.4820105543565
t207,33.1095836863594,26.5704680605945,53.8527150496703,29.0453034028364,12.4428450107251,13.3786689702071,36.2273749923992,23.3255324002424,20.1849687017868,61.6260322584734,20.1024088238138,20.3013583546153,36.8535022761971,34.959207366861,55.7838245219,42.1717603341231,23.7422320126891,28.8528876011755,38.6429788932366,32.6781324747086,30.4551802283107,13.3063265182348,56.7258192559461,44.3976328467986,28.125194733444,18.4541097124796,44.4370587978818,21.1615594654026,20.4536268771706,35.7405675700543,24.4444444444444,42.1223026847823,43.1844356995834,38.1774255501951,41.8933983370852
