periodo,Nacional,Urbano,Rural,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad de México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Estado de México,Michoacán,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
210,0.9856,0.9829,0.9888,0.9387,1.0911,0.9863,0.9348,0.988,0.9408,1.002,0.8895,1.0995,0.965,1.0113,1.0038,0.9841,0.9762,0.9505,0.989,0.9996,0.9202,0.9495,0.9953,0.9683,1.0036,0.995,0.9878,1.0182,0.9264,0.9942,0.9608,0.986,0.9553,1.035,0.9614
310,0.9789,0.9777,0.9806,0.9044,1.0336,1.0927,0.8917,0.9576,0.9679,0.9961,0.9115,1.0439,1.0129,0.9678,1.0475,0.8543,0.9513,0.9268,0.9304,0.9788,0.9563,1.058,1.0322,0.8775,0.988,1.0037,0.9526,1.1386,1.1153,1.0189,0.9635,0.9361,1.0545,0.9642,0.9616
410,1.0311,1.0421,1.0074,1.0362,1.1964,1.0894,0.9599,0.9678,1.0208,1.0344,1.1006,1.1946,1.0052,0.9691,1.0746,0.9578,0.9846,0.9766,1.0044,1.091,0.946,1.0326,1.0128,0.9585,1.116,1.0541,1.0559,1.165,1.0175,1.1101,1.0063,1.0469,1.0739,1.0028,1.0127
111,0.9883,0.9911,0.9808,1.0576,1.0352,1.0771,0.9078,0.8663,1.0574,0.9553,1.0247,1.074,1.0152,1.0251,0.9866,0.9121,0.932,0.9268,0.9506,1.105,0.9395,1.0528,1.0128,1.0099,0.9717,1.0414,1.0365,1.0308,0.9291,0.9673,1.0278,1.0119,1.0022,0.9978,1.0471
211,0.9843,0.9857,0.979,1.071,1.0467,0.8777,0.93,0.7943,1.0391,0.9812,1.0462,1.1557,0.9862,0.9178,0.9934,0.9191,0.9605,0.9259,0.8958,1.0672,0.9934,1.0119,1.0012,0.99,1.0082,1.0766,1.0186,1.1426,0.8878,1.0282,1.0559,0.9493,0.9985,0.9638,0.9992
311,1.0023,0.9997,1,1.0588,1.0445,1.0497,0.9124,0.7868,0.9365,0.9882,1.0564,1.0521,0.916,0.94,1.0546,0.9153,0.9696,0.9001,0.9011,1.0461,1.06,1.0639,1.0147,1.0485,1.0913,1.0786,1.0703,1.2757,1.0496,1.0352,1.1111,0.9239,1.0466,0.964,1.007
411,1.0121,1.0182,0.9915,1.0886,1.1358,0.9802,0.9324,0.7959,1.0339,1.0131,1.072,1.0481,0.9362,0.9822,1.0769,0.9166,0.9198,0.9749,0.9003,1.0979,1.0065,1.1205,0.9817,0.9943,1.0771,1.0814,1.0912,1.2044,0.9508,1.0729,1.1196,0.9293,1.0334,0.9971,1.0681
112,1.0246,1.0463,0.9807,1.0907,1.2462,1.0283,0.8998,0.9217,1.017,1.0097,1.1094,1.1529,0.9693,1.0143,1.0701,0.98,0.9031,1.0315,0.9289,1.0724,1.0536,1.1356,0.988,0.9571,0.9978,1.0597,1.0907,1.1177,0.9829,1.0198,1.0798,0.9711,1.0086,1.0335,1.0949
212,1.0021,1.0201,0.966,1.0265,1.1835,1.0966,0.91,0.913,0.9581,1.0171,0.9766,1.1741,1.0133,1.0265,1.0284,0.9344,0.8899,0.9629,0.8855,1.0724,1.0405,1.0931,0.9691,0.9799,1.0443,1.0985,1.0916,1.2239,0.9969,1.0978,1.0887,0.982,0.9135,0.9779,1.0044
312,1.0419,1.0536,1.0162,1.0966,1.1908,1.0715,0.917,0.8058,1.0104,1.0271,1.0146,1.18,1.0739,0.9354,1.1371,0.9597,0.936,1.0118,0.9477,1.2024,1.1504,1.2125,0.9765,1.0297,1.0974,1.0847,1.1207,1.3495,0.9949,1.0612,1.1585,1.0032,1.0553,1.0102,1.026
