periodo,Aguascalientes,Baja.California,Baja.California.Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad.de.México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Estado.de.México,Michoacán,Morelos,Nayarit,Nuevo.León,Oaxaca,Puebla,Querétaro,Quintana.Roo,San.Luis.Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas,Nacional
316,2191.22,2962.8,3496.35,2255.38,2737.09,2731.48,1148.17,3100.86,3093.66,1991.88,1895.88,1146.99,1839.68,2539.1,2128.04,1874.15,1577.57,2287.86,2861.16,1160.21,1695.54,2158.76,2990.98,1849.11,2388.75,2632.63,1839.09,2303.53,1655.07,1540.53,2177.22,1619.19,2129.71
416,2194.67,2871.9,3828.33,2256.36,2673.02,2821.25,1146.46,3110.88,3228.61,2047.41,2012.27,1160.35,1818.85,2581.91,2052.05,1863.28,1550.43,2289.24,3085.22,1231.84,1654.93,2126.77,2980.6,1639.85,2591.35,2794.96,1765.85,2287.63,1671.96,1509.81,2271.71,1595.92,2145.74
117,2245.97,2863.8,3801.36,2257.71,2815,2953.55,1181.43,3238.14,3160.12,2094.31,2050.15,1343.35,1647.12,2793.34,2129.69,2032.98,1686.84,2405.95,3145.27,1221.68,1753.41,2275.24,2982.83,1862,2662.02,2898.94,1913.76,2256.12,1690.33,1552.15,2332.44,1623.81,2214.12
217,2262.28,2987.41,3883.52,2153.75,2852.61,2831.31,1166,3087.57,3312.17,2137.76,2097.81,1276.74,1747.97,2706.2,2131.97,1930.74,1643.52,2396.48,3021.67,1219.01,1776.33,2115.89,2992.78,1912.12,2681.6,2890.42,1857.61,2323.95,1741.19,1594.38,2340.26,1790.83,2216.26
317,2136.52,2893.03,3890.87,2174.05,2787.06,2978.82,1130.52,3203.57,3222.24,2190.75,2100.31,1223.17,1796.07,2777.71,2194.7,1947.46,1653.8,2373.24,3182.97,1221.67,1754.5,2060.46,3142.41,2045,2602.72,2811.27,1777.49,2215.61,1820.96,1562.54,2302.51,1713.38,2219.66
417,2176.08,3004.35,3903.76,2295.64,2864.07,3034.4,1146.73,3151.67,2959.88,2109.66,2256.57,1223.47,1734.86,2791.12,2182.41,2027.88,1634.43,2610.26,3087.04,1219.97,1810.16,2233.06,3151.68,1940.61,2709.37,2953.21,1823.68,2318.86,1810.41,1599.78,2370.99,1745.89,2230.68
118,2280.41,3210.93,3957.52,2293.12,2869.49,3238.45,1220.48,3126.83,3350.97,2142.01,2384.57,1337.31,1787.52,2923.48,2306.47,2129.11,1678.64,2646.07,3122.64,1267.53,1948.81,2616.71,3089.07,2041.59,2918.18,2960.12,1897.64,2489.45,1877.41,1708.03,2346.55,1682.19,2346.76
218,2375.45,3366.24,4124.44,2398.05,2991.45,3208.86,1228.31,3275.67,3380.37,2235.02,2425.87,1350.74,1809.47,2850.35,2343.7,2203.57,1667.62,2676.14,3315.08,1328.47,1917.58,2585.57,3281.7,2135.41,2818.11,3078.81,1952.61,2588.06,1893.95,1728.06,2453.75,1759.72,2389.18
318,2319.52,3173.7,4075.43,2391.4,2986.8,3440.75,1248.99,3290.82,3353.29,2159.25,2402.16,1284.8,1918.3,2910.88,2323.8,2183.01,1628.7,2651.3,3400.53,1297.42,1974.78,2548.14,3381.72,2101.09,2777.61,3004.97,1867.68,2646.29,1914.07,1814.54,2512,1841.45,2392.21
418,2365.32,3260.45,4291.74,2367.45,3037.57,3343.87,1220.08,3240.96,3289.98,2295.98,2411.77,1346.02,1902.12,2961.36,2340.05,2234.41,1638.21,2592.58,3310.7,1349.22,1995.23,2609.58,3379.41,2176.34,2792.35,3208.05,1899.15,2581.02,1880.38,1722.85,2666.34,1837.86,2406.19
