periodo,Aguascalientes,Baja.California,Baja.California.Sur,Campeche,Coahuila,Colima,Chiapas,Chihuahua,Ciudad.de.México,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Estado.de.México,Michoacán,Morelos,Nayarit,Nuevo.León,Oaxaca,Puebla,Querétaro,Quintana.Roo,San.Luis.Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas,Nacional,inpc,base
313,1525.42,2277.04,2868,2048.35,2145.9,2292.88,965.28,1994.38,2404.11,1424.79,1506.87,992.9,1392.99,1954.22,1562.42,1445.92,1332.94,1738.59,2255.12,996.42,1280.54,1641.96,2529.48,1355.53,2064.24,2207.01,1666.78,1743.1,1279.47,1428.38,1723.19,1205.34,1664.02,81.85,1.12
413,1672.57,2272.19,2755.88,2009.16,2119.69,2338.4,917.22,2035.38,2342.74,1398.71,1492.07,953.89,1421.09,1912.81,1737.39,1453.02,1341.83,1795.35,2189.3,906.2,1276.37,1624.37,2220.51,1366.72,1989.21,2198.7,1715.51,1758.09,1236.08,1460.48,1785.46,1195.13,1669.09,83.2,1.14
114,1572.08,2166.02,2814.15,2010.45,2005.13,2223.45,944,1953.89,2192.76,1398.26,1443.45,995.28,1420.34,1887.04,1647.16,1494.48,1245.59,1797.69,2105.73,983.96,1292.74,1648.94,2178.98,1310.7,2029.66,2285.53,1662.69,1778.3,1230.01,1364.19,1673.88,1129.86,1633.04,84.74,1.16
214,1631.5,2199.29,2665.95,1967.62,1998.43,2198.55,865.99,2101.32,2216.95,1350.63,1435.12,1009.44,1386.5,1940.6,1574.77,1454.74,1271.03,1738.98,2083.88,946.19,1273.37,1602.93,2135.69,1335.08,1840.25,2292.34,1629.07,1706.99,1181.47,1305.72,1594.54,1168.51,1607.49,84.67,1.16
314,1611.46,2111.31,2502.53,1926.96,2094.37,2217.12,881.9,2033.25,2138.97,1410.49,1497.9,904.8,1398.86,1929.56,1591.13,1459.59,1238.51,1762.55,2271.85,928.36,1288.68,1519.9,2097.54,1291.02,1904.84,2214.39,1661.48,1619.04,1212.81,1259.38,1625.95,1133.66,1600.56,85.24,1.17
414,1534.4,2137.92,2763.31,1854.8,2064.04,2193.74,863.71,1992.19,2109.72,1400.58,1445.86,967.23,1361.9,1835.26,1526.03,1453.17,1242.5,1711.95,2158.58,923.29,1291.91,1558.52,2112.77,1307.41,2035.48,2195.47,1658.99,1737.33,1237.39,1155.3,1669.86,1110.03,1575.58,86.67,1.19
115,1578.26,2135.09,2761.04,1845.18,2028.76,2205.94,921.77,2018.48,2234.85,1386,1425.2,979.8,1422.21,1909.98,1568.12,1485.2,1298.1,1753.12,2172.01,933.87,1293.19,1723.85,2206.65,1306.32,2081.05,2136.44,1631.91,1706.24,1291.37,1253.48,1657.36,1131.48,1613.17,87.34,1.2
215,1609.14,2143.93,2837.02,1945.34,2089.61,2182.2,912.89,2142.3,2273.97,1462.51,1517.05,950.2,1446.24,1905.05,1515.9,1488.31,1265.31,1768.65,2149.3,962.17,1310.22,1720.98,2346.98,1331.7,2120.91,2269.76,1613.41,1719.48,1293.08,1282.48,1707.35,1218.57,1630.96,87.16,1.19
315,1671.86,2116.98,2716.22,1882.64,2144.02,2182.18,928.2,2167.33,2597.43,1574.88,1480.79,929.93,1438.6,1990.76,1574.18,1498.97,1193.62,1721.55,2226.16,955.31,1308.64,1698.98,2289.22,1326.23,2202,2121.32,1653.23,1679.83,1284.35,1311.08,1746.54,1238.45,1668.93,87.47,1.2
415,1717.8,2163.42,2792.89,1915.92,2110.96,2171.38,899.61,2276.79,2315.32,1551.86,1554.18,930.95,1475.82,2007.01,1614.74,1468.36,1156.94,1762.41,2271.21,1004.97,1317.67,1678.5,2288.02,1415.46,2172.87,2171.79,1593.55,1705.61,1302.24,1252.22,1669.45,1248.27,1661.74,88.65,1.21
